LR_id,DV_id,L_index,R_index,D_index,V_index
ADA,ALA,0,1,22,22
ADE,AQR,2,3,27,27
ADF,AVL,4,5,58,58
ADL,AVM,6,7,59,59
AFD,CEP L,8,9,70,72
AIA,CEP R,10,11,71,73
AIB,DVA,12,13,74,74
AIM,DVC,14,15,75,75
AIN,IL1 L,16,17,80,84
AIY,IL1 R,18,19,81,85
AIZ,IL2 L,20,21,86,90
ALA,IL2 R,22,22,87,91
ALM,OLQ L,23,24,94,96
ALN,OLQ R,25,26,95,97
AQR,PVR,27,27,108,108
ASE,PVT,28,29,109,109
ASG,RID,30,31,116,116
ASH,RIH,32,33,121,121
ASI,RIR,34,35,126,126
ASJ,RIS,36,37,127,127
ASK,RMD L,38,39,130,134
AUA,RMD R,40,41,131,135
AVA,RME,42,43,136,139
AVB,SAA L,44,45,146,148
AVD,SAA R,46,47,147,149
AVE,SIA L,48,49,152,154
AVF,SIA R,50,51,153,155
AVH,SIB L,52,53,156,158
AVJ,SIB R,54,55,157,159
AVK,SMB L,56,57,160,162
AVL,SMB R,58,58,161,163
AVM,SMD L,59,59,164,166
AWA,SMD R,60,61,165,167
AWB,URA L,62,63,168,170
AWC,URA R,64,65,169,171
BAG,URY L,66,67,176,178
BDU,URY R,68,69,177,179
CEPD,,70,71,180,196
CEPV,,72,73,181,197
DVA,,74,74,182,198
DVC,,75,75,183,199
FLP,,76,77,184,200
HSN,,78,79,185,201
IL1D,,80,81,186,202
IL1,,82,83,187,203
IL1V,,84,85,188,204
IL2D,,86,87,189,205
IL2,,88,89,190,206
IL2V,,90,91,191,207
OLL,,92,93,192,208
OLQD,,94,95,193,209
OLQV,,96,97,194,210
PLN,,98,99,195,211
PVC,,100,101,212,214
PVN,,102,103,213,215
PVP,,104,105,216,220
PVQ,,106,107,217,221
PVR,,108,108,,
PVT,,109,109,,
RIA,,110,111,,
RIB,,112,113,,
RIC,,114,115,,
RID,,116,116,,
RIF,,117,118,,
RIG,,119,120,,
RIH,,121,121,,
RIM,,122,123,,
RIP,,124,125,,
RIR,,126,126,,
RIS,,127,127,,
RIV,,128,129,,
RMDD,,130,131,,
RMD,,132,133,,
RMDV,,134,135,,
RMED,,136,136,,
RME,,137,138,,
RMEV,,139,139,,
RMF,,140,141,,
RMG,,142,143,,
RMH,,144,145,,
SAAD,,146,147,,
SAAV,,148,149,,
SDQ,,150,151,,
SIAD,,152,153,,
SIAV,,154,155,,
SIBD,,156,157,,
SIBV,,158,159,,
SMBD,,160,161,,
SMBV,,162,163,,
SMDD,,164,165,,
SMDV,,166,167,,
URAD,,168,169,,
URAV,,170,171,,
URB,,172,173,,
URX,,174,175,,
URYD,,176,177,,
URYV,,178,179,,
,,180,188,,
,,181,189,,
,,182,190,,
,,183,191,,
,,184,192,,
,,185,193,,
,,186,194,,
,,187,195,,
,,196,204,,
,,197,205,,
,,198,206,,
,,199,207,,
,,200,208,,
,,201,209,,
,,202,210,,
,,203,211,,
,,212,213,,
,,214,215,,
,,216,217,,
,,218,219,,
,,220,221,,
